labno,unitno,serialno,regno,custid,cust_name,modelid,makeid,make,compartid,compart,compartsn,oiltypeid,oilgradeid,coolantid,notesos,label,last_interpret_date,sampledate,processdate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,Job Site,Sampled Site,dateReported,Confirmed,Problem Solved,Action Taken,jobno,Customer Groups,Market Status,Report Logo,Region,cmu,interpreter,EC,pH,Prec,Soln,NO2,NO3,Cl-,GLY,SO4,Odour,SolInt,SolCol,SolApp,SolCon,PptAmt,PptCol,PptMag,PptApp,OdrOdr,SolFoam,SolOil,SolFuel,S,Cu,Fe,Cr,Pb,Al,Si,Sn,Ni,Na,K,Mo,Ca,Mg,P,Zn,V40,V100,F,WAT,UST,UOXI,USUL,UNIT,PQ,DEP,TAN,Ti,Sb,V,B,Ag,Mn,Cd,Ba,Be,Bi,Li,TH,ISO,PC4,PC6,PC10,PC14,PC50,S_%,GLO,As,Co,In,Ga,Frp,La,Lu,APP,RI,Sc,Se,W,COL,Y,API,FP,TBN,VI,TDS
10204806618,213088,ARN213-088,,537756,POC Andrew Gorine,Unknown,,ZF,07E7B86,Hub Axle 3 Left,,SAE,SAE 80W90,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. A moderate deposit of visible wear metal particles is present in this sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity low for specified oil grade.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. Note: This is an amended report following changes to sample information (unit). This report supersedes any previous report(s) with this reference. Amendment 01 ,,2020-10-08 00:00:00,2020-08-21 00:00:00,2020-08-25 00:00:00,0,100,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,155,6,0.99,5,3,3,1,15,0.99,0.99,136,1,914,100,107,,,99.9,,7.4,,,180,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204930176,213094,ARN213-094,,0,,Unknown,,,07E7C12,Hub Axle 4 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-19 00:00:00,2021-05-10 00:00:00,2021-05-18 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,248,7,1,1,3,3,2,4,1,1,93,2,913,87,113,,,99.9,,6,,,235,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204930174,213094,ARN213-094,,0,,Unknown,,,07E7C4F,Hub Axle 1 Right,,Unidentified,-,,Chromium level elevated. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-19 00:00:00,2021-05-10 00:00:00,2021-05-18 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,167,5,0.99,0.99,3,2,1,3,0.99,2,89,1,904,72,114,,,99.9,,7,,,174,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929382,213094,ARN213-094,,0,,Unknown,,,07E7C14,Hub Axle 1 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels lower than 8 micron appear satisfactory. PQ Index number (ferrous material) higher than typical. Other contaminant levels acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample $$ to further monitor. ,,2021-05-18 00:00:00,2021-05-11 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,432,10,1,7,4,5,3,13,0.99,0.99,85,2,924,71,113,,,99.9,,7,,,604,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204931806,213091,ARN213-091,,0,,Unknown,,,07E7C52,Differential Axle 1,,SAE,SAE 80W90,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Oil in use appears to be the original or factory fill. Action: Resample at next recommended interval to monitor and establish wear trend. ,,2021-05-24 00:00:00,2021-05-18 00:00:00,2021-05-21 00:00:00,0,3247,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53,2,0.99,0.99,2,1,2,15,0.99,0.99,93,1,952,71,112,,,99.9,,7.7,,,43,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204811899,213088,ARN213-088,,0,,Unknown,,ZF,082269E,Differential Axle 2,,SAE,SAE 80W90,,"All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. Note: Fluid type stated as, SAE 80W90. Please provide sample of new product and TDS for reference purposes. Note: This is an amended report following changes to sample information (unit). This report supersedes any previous report(s) with this reference. Amendment 01 ",,2020-10-08 00:00:00,2020-08-31 00:00:00,2020-09-03 00:00:00,0,112,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,1,3,1,38,1,0.99,10,2,2,46,2,968,32,130,,,99.9,,7.4,,,20,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204931349,213094,ARN213-094,,0,,Unknown,,,07E7C4F,Hub Axle 1 Right,,Unidentified,-,,Lack of information regarding time on oil limits accuracy of diagnosis. Chromium level elevated. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ,,2021-05-21 00:00:00,2021-05-11 00:00:00,2021-05-20 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,167,5,1,0.99,3,2,2,4,2,2,86,1,1036,68,118,,,99.9,,6.6,,,163,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204930175,213094,ARN213-094,,0,,Unknown,,,07E7C2C,Hub Axle 2 Right,,Unidentified,-,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-19 00:00:00,2021-05-10 00:00:00,2021-05-18 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,160,6,1,0.99,3,3,1,3,1,1,81,1,882,69,115,,,99.9,,6.4,,,154,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204930177,213094,ARN213-094,,0,,Unknown,,,07E7C3F,Hub Axle 3 Right,,Unidentified,-,,Chromium level abnormal. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ,,2021-05-19 00:00:00,2021-05-11 00:00:00,2021-05-18 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,250,8,1,1,3,4,2,4,1,1,81,1,992,71,116,,,99.9,,5.5,,,266,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204930179,213094,ARN213-094,,0,,Unknown,,,07E7C90,Hub Axle 4 Right,,Unidentified,-,,Chromium level abnormal. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ,,2021-05-19 00:00:00,2021-05-11 00:00:00,2021-05-18 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310,8,0.99,2,4,4,3,4,1,1,85,2,1020,73,116,,,99.9,,5.3,,,347,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003667227,213080,ARN213-080,,0,,Unknown,,MTU,07E7C0D,Engine,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Fuel dilution satisfactory. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2021-05-07 00:00:00,2021-04-15 00:00:00,2021-05-06 00:00:00,,100,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,0.99,5,4,10,1,1,4,4,10,3750,9,1339,1418,,10.3,1,99.9,5.4,50,52.8,,9.9,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,
10204930178,213094,ARN213-094,,0,,Unknown,,,07E7C12,Hub Axle 4 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ,,2021-05-19 00:00:00,2021-05-11 00:00:00,2021-05-18 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,247,7,1,1,3,3,2,4,2,1,83,1,968,79,114,,,99.9,,7.6,,,254,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204931350,213094,ARN213-094,,0,,Unknown,,,07E7C2C,Hub Axle 2 Right,,Unidentified,-,,"As oil brand/grade/time on oil unknown, diagnosis is limited. However, Chromium level abnormal. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ",,2021-05-21 00:00:00,2021-05-11 00:00:00,2021-05-20 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,164,6,1,0.99,3,3,1,3,1,1,79,1,1044,64,119,,,99.9,,6.4,,,133,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204676095,213083,ARN213-083,,0,,Unknown,,ZF,079CBE4,Hub Axle 2 Left,,See Comments,-,,"Lack of information regarding time on oil limits accuracy of diagnosis. Bearing/bushing and shaft/gear wear indicated. Heavy concentration of water present. Other contaminant levels acceptable. Please check recorded viscosity against requirements.Action: Check for any abnormal vibrations and/or noise. Advise inspect filter/strainer/magnetic plug for abnormal wear metal (if applicable). Check all water access points (breathers/seals). Resample at a reduced service interval to further monitor. Note: Fluid type stated as, 0-226. Please provide sample of new product and TDS for reference purposes. ",,2019-11-15 00:00:00,2019-11-01 00:00:00,2019-11-13 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1217,20,1,2,6,13,9,6,1,0.99,0.99,3,841,25,144,,,500,,5.6,,,106,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003667233,213081,ARN213-081,,0,,Unknown,,MTU,07E7B64,Engine,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Fuel dilution satisfactory. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend.  ,,2021-05-07 00:00:00,2021-04-15 00:00:00,2021-05-06 00:00:00,,122,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,0.99,6,4,9,1,1,5,4,11,3590,12,1277,1359,,10.4,1,99.9,5.4,49.5,52.4,,9.9,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,
10204676103,213083,ARN213-083,,0,,Unknown,,ZF,079CBE4,Hub Axle 2 Left,,See Comments,-,,"Lack of information regarding time on oil limits accuracy of diagnosis. Bearing/bushing and shaft/gear wear indicated. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Check for any abnormal vibrations and/or noise. Advise inspect filter/strainer/magnetic plug for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend.  Note: Fluid type stated as, 0-226. Please provide sample of new product and TDS for reference purposes. ",,2019-11-15 00:00:00,2019-10-31 00:00:00,2019-11-13 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1183,19,0.99,2,5,12,9,6,0.99,0.99,0.99,3,847,24,133,,,99.9,,5.9,,,89,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003667231,213082,ARN213-082,,0,,Unknown,,MTU,07E7B5D,Engine,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Fuel dilution satisfactory. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2021-05-07 00:00:00,2021-04-15 00:00:00,2021-05-06 00:00:00,,121,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8,0.99,7,4,11,1,0.99,4,4,10,3645,9,1319,1381,,10.5,1,99.9,5.4,52.1,54.5,,9.9,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
10204676111,213083,ARN213-083,,0,,Unknown,,ZF,079CBE4,Hub Axle 2 Left,,See Comments,-,,"Lack of information regarding time on oil limits accuracy of diagnosis. Bearing/bushing and shaft/gear wear indicated. Heavy concentration of water present. Other contaminant levels acceptable. Please check recorded viscosity against requirements.Action: Check for any abnormal vibrations and/or noise. Advise inspect filter/strainer/magnetic plug for abnormal wear metal (if applicable). Check all water access points (breathers/seals). Resample at a reduced service interval to further monitor. Note: Fluid type stated as, 0-226. Please provide sample of new product and TDS for reference purposes. ",,2019-11-15 00:00:00,2019-11-02 00:00:00,2019-11-13 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1213,20,0.99,2,6,13,9,6,0.99,0.99,0.99,3,823,24,138,,,800,,7.8,,,144,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204931807,213091,ARN213-091,,0,,Unknown,,,08AD126,Differential Axle 2,,SAE,SAE 80W90,,All wear levels within normal limits for run-in period. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2021-05-24 00:00:00,2021-05-18 00:00:00,2021-05-21 00:00:00,0,3247,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,49,1,27,4,38,1,1,12,0.99,1,83,2,941,58,121,,,99.9,,6.3,,,45,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204862077,213086,ARN213-086,,0,,Unknown,,ZF,07E7B4D,Hub Axle 2 Left,,SAE,SAE 80W90,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-12-17 00:00:00,2020-12-02 00:00:00,2020-12-15 00:00:00,,1328,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,126,3,1,1,2,2,1,3,1,1,69,1,940,72,117,,,99.9,,7,,,43,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204758366,213086,ARN213-086,,537756,POC Andrew Gorine,Unknown,,,07E7B4A,Transmission,,Transynd ATF,-,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-05-19 00:00:00,2020-05-11 00:00:00,2020-05-15 00:00:00,0,173,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0.99,4,2,4,0.99,,4,1,0.99,31,0.99,250,3,39,,,99.9,,64.4,,,9.9,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003671551,213092,ARN213-092,,0,,Unknown,,MTU,07E7C5A,Engine,,Nycolube 294,SAE 5W30,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2021-05-19 00:00:00,2021-05-17 00:00:00,2021-05-17 00:00:00,,500,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,0.99,8,4,6,2,2,6,4,10,4059,10,1372,1403,,10.1,1,99.9,5.4,57.5,54.9,,9.9,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,
10204765381,213085,ARN213-085,,537756,POC Andrew Gorine,Unknown,,,07B6F03,Transmission,,Transynd ATF,-,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-06-02 00:00:00,2020-05-05 00:00:00,2020-05-29 00:00:00,0,6033,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,0.99,16,6,4,0.99,0.99,4,1,0.99,35,0.99,250,2,39,,,99.9,,67.6,,,18,,,,,,112,,,,,,,,,23/21/13,23,21,,13,,,,,,,,,,,,,,,,,,,,,,
10003666883,213092,ARN213-092,,0,,Unknown,,MTU,07E7C5A,Engine,,See Comments,-,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Fuel dilution satisfactory. Please check recorded viscosity against requirements.Action: Resample next service interval to monitor and establish wear trend. Fluid type: Nycolube 299 0W30,,2021-05-07 00:00:00,2021-04-15 00:00:00,2021-05-05 00:00:00,,135,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,0.99,8,3,6,1,1,6,4,10,3476,7,1181,1249,,9.8,1,99.9,5.4,60,56.5,,9.9,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,
10204758382,213086,ARN213-086,,537756,POC Andrew Gorine,Unknown,,MTU,07E7B74,Engine,,Nycolube 294,SAE 5W30,,"All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Fuel dilution satisfactory. Infra-red analysis indicates oxidation/sulphation elevated. Viscosity within specified operating range.Action: Check for excessive blow-by or incorrect operating temperature. As oil and filter(s) already changed, resample at next recommended interval to monitor and establish wear trend. ",,2020-05-19 00:00:00,2020-05-11 00:00:00,2020-05-15 00:00:00,0,173,,,Changed,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,0.99,4,3,7,0.99,0.99,12,2,13,3338,9,1166,1208,,10.1,1,99.9,43.9,53.3,67.4,,13,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,
10204701323,213085,ARN213-085,,0,,Unknown,,ZF,07593B4,Hub Axle 4 Left,,SAE,SAE 80W90,,"Chromium level elevated. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity low for specified oil grade.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. Note: Oil type stated as, 0-226 80w90.",,2020-01-17 00:00:00,2020-01-07 00:00:00,2020-01-13 00:00:00,,644,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,104,5,0.99,1,3,2,1,24,0.99,0.99,143,1,803,122,100,,,99.9,,6.3,,,61,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204828956,213091,ARN213-091,,0,,Unknown,,MTU,07E7C48,Engine,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Fuel dilution satisfactory. Infra-red analysis indicates oxidation/sulphation elevated. Viscosity within specified operating range.Action: Check for excessive blow-by or incorrect operating temperature. Resample at a reduced service interval to monitor and establish wear trend. Note: This is a revised report following updated diagnostic comments. This report supersedes any previous report(s) with this reference. Amendment 01 ,,2020-10-14 00:00:00,2020-09-23 00:00:00,2020-10-07 00:00:00,0,597,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,0.99,4,0.99,6,1,0.99,4,1,14,3101,8,1125,1111,,10.3,1,99.9,37.5,63.7,62.5,,9.9,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,
10204862076,213087,ARN213-087,,0,,Unknown,,ZF,07E7B77,Hub Axle 2 Left,,SAE,SAE 80W90,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Oil in use appears to be the original or factory fill. Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-12-17 00:00:00,2020-12-02 00:00:00,2020-12-15 00:00:00,,1202,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,183,5,0.99,1,3,2,1,5,1,0.99,143,2,942,121,101,,,99.9,,6.9,,,147,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204701322,213085,ARN213-085,,0,,Unknown,,ZF,075955D,Hub Axle 3 Right,,SAE,SAE 80W90,,"Bearing/bushing and shaft/gear wear indicated. PQ Index number (ferrous material) higher than typical. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity low for specified oil grade.Action: Check for any abnormal vibrations and/or noise. Advise inspect filter/strainer/magnetic plug for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. Note: Oil type stated as, 0-226 80w90.",,2020-01-17 00:00:00,2020-01-07 00:00:00,2020-01-13 00:00:00,,644,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,753,33,1,3,9,16,7,24,0.99,1,139,3,802,110,103,,,99.9,,6.7,,,763,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204701324,213085,ARN213-085,,0,,Unknown,,ZF,075947F,Hub Axle 4 Right,,SAE,SAE 80W90,,"Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity low for specified oil grade.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. Note: Oil type stated as, 0-226 80w90.",,2020-01-17 00:00:00,2020-01-07 00:00:00,2020-01-13 00:00:00,,644,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,205,6,0.99,2,3,3,2,22,1,0.99,120,1,794,103,106,,,99.9,,6.6,,,203,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204766932,213085,ARN213-085,,0,,Unknown,,,07B6F03,Transmission,,Transynd ATF,-,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-06-03 00:00:00,2020-05-05 00:00:00,2020-06-02 00:00:00,,6033,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,0.99,17,6,4,1,1,5,4,0.99,32,0.99,257,3,38,,,99.9,,67.3,,,9.9,,,,,,108,,,,,,,,,23/20/12,23,20,,12,,,,,,,,,,,,,,,,,,,,,,
10204779275,213084,ARN213-084,,537756,POC Andrew Gorine,Unknown,,,07BA350,Transmission,,Transynd ATF,-,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. Note: This is a revised report following updated diagnostic comments. This report supersedes any previous report(s) with this reference. Amendment 1.,,2020-06-30 00:00:00,2020-06-04 00:00:00,2020-06-26 00:00:00,0,317,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0.99,10,2,3,0.99,0.99,4,0.99,0.99,33,0.99,241,3,39,,,99.9,,65.6,,,9.9,,,,,,108,,,,,,,,,23/20/13,23,20,,13,,,,,,,,,,,,,,,,,,,,,,
10204701319,213085,ARN213-085,,0,,Unknown,,ZF,075943F,Hub Axle 2 Left,,SAE,SAE 80W90,,"Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity low for specified oil grade.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. Note: Oil type stated as, 0-226 80w90.",,2020-01-17 00:00:00,2020-01-07 00:00:00,2020-01-13 00:00:00,,644,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,204,6,1,2,3,3,2,24,0.99,0.99,140,2,810,117,97,,,99.9,,6.3,,,224,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204701259,213085,ARN213-085,,0,,Unknown,,,07B6F03,Transmission,,Transynd ATF,-,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-01-14 00:00:00,2020-01-10 00:00:00,2020-01-13 00:00:00,,644,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0.99,7,2,2,0.99,0.99,3,4,0.99,26,0.99,213,2,41,,,99.9,,66.1,,,9.9,,,,,,107,,,,,,,,,23/21/14,23,21,,14,,,,,,,,,,,,,,,,,,,,,,
10003671556,213091,ARN213-091,,0,,Unknown,,MTU,07E7C48,Engine,,Nycolube 294,SAE 5W30,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2021-05-19 00:00:00,2021-05-07 00:00:00,2021-05-17 00:00:00,,3000,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,45,1,8,5,9,1,1,6,4,11,4106,11,1351,1411,,10.1,1,99.9,69.5,61.7,62.9,,9.9,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,
10204848263,213083,ARN213-083,,0,,Unknown,,,07B6F02,Transmission,,Transynd RD ATF,-,,Lack of information regarding time on oil limits accuracy of diagnosis. All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-11-17 00:00:00,2020-11-02 00:00:00,2020-11-16 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,0.99,25,6,7,0.99,0.99,2,1,0.99,58,0.99,246,12,39,,,99.9,,72.9,,,9.9,,,,,,106,,,,,,,,,23/21/17,23,21,,17,,,,,,,,,,,,,,,,,,,,,,
